num_docs,training_accuracy,cross_entropy
100,0.76,0.980427181614
200,0.765,0.931184854773
300,0.7566666666666667,1.01922247186
400,0.7375,0.997616932057
500,0.734,1.06003456389
600,0.74,1.09439106891
700,0.7414285714285714,1.09624122528
800,0.73875,1.10648343476
900,0.7322222222222222,1.12940739492
1000,0.734,1.12004982602
1100,0.73,1.11407440199
1200,0.73,1.07282285187
1300,0.7330769230769231,1.06578856242
1400,0.73,1.03386199809
1500,0.728,1.01715891304
1600,0.7325,1.00162054752
1700,0.7305882352941176,0.99994652003
1800,0.7288888888888889,0.994913128193
1900,0.7289473684210527,1.00129433879
2000,0.7295,1.01040354611
2100,0.7309523809523809,1.0125122597
2200,0.7322727272727273,0.992896662169
2300,0.73,0.99268021883
2400,0.7308333333333333,0.983562707529
2500,0.73,0.988431191925
2600,0.7315384615384616,0.985309360709
2700,0.7318518518518519,0.985664565665
2800,0.7332142857142857,0.972601998447
2900,0.733448275862069,0.982252582862
3000,0.734,0.987037559956
3100,0.7338709677419355,0.991469306966
3200,0.7321875,0.984219177774
3300,0.7321212121212122,0.977979955022
3400,0.7314705882352941,0.99627651904
3500,0.7308571428571429,0.992848386475
3600,0.7327777777777778,0.980281400857
3700,0.7343243243243244,0.970489044662
3800,0.7323684210526316,0.958940242025
3900,0.7330769230769231,0.954513791344
4000,0.7335,0.952931410779
4100,0.7336585365853658,0.945592797599
4200,0.7338095238095238,0.948999294402
4300,0.7330232558139534,0.943044057067
4400,0.7331818181818182,0.939645173396
4500,0.7324444444444445,0.935482442175
4600,0.7317391304347826,0.928612727893
4700,0.7323404255319149,0.925871989927
4800,0.7316666666666667,0.922403317222
4900,0.7310204081632653,0.91903628004
5000,0.7314,0.913619989499
5100,0.7309803921568627,0.916779635322
5200,0.7301923076923077,0.915797179979
5300,0.7290566037735849,0.914677277431
5400,0.7285185185185186,0.910729540067
5500,0.7274545454545455,0.911847345705
5600,0.7285714285714285,0.908815341604
5700,0.7275438596491228,0.910157125182
5800,0.728448275862069,0.908553013499
5900,0.7261016949152542,0.905314657418
6000,0.7256666666666667,0.902366651809
6100,0.7252459016393442,0.8970487889
6200,0.725,0.894214240974
6300,0.7252380952380952,0.891689252956
6400,0.725625,0.886728983934
6500,0.7261538461538461,0.884837727445
6600,0.7260606060606061,0.881661175047
6700,0.725820895522388,0.878489283612
6800,0.7254411764705883,0.877326802576
